iter	Passed	Remaining
0	1	1557
1	3	1562
2	4	1533
3	6	1539
4	7	1530
5	9	1519
6	10	1505
7	12	1507
8	13	1538
9	15	1533
10	17	1550
11	18	1547
12	20	1540
13	21	1538
14	23	1528
15	24	1521
16	26	1519
17	28	1534
18	31	1627
19	33	1620
20	34	1610
21	36	1601
22	37	1592
23	39	1586
24	40	1580
25	41	1572
26	43	1570
27	45	1564
28	46	1560
29	48	1556
30	49	1553
31	51	1548
32	52	1543
33	54	1539
34	55	1535
35	57	1541
36	59	1535
37	60	1531
38	61	1526
39	63	1522
40	64	1520
41	66	1517
42	67	1512
43	69	1509
44	71	1516
45	72	1511
46	74	1508
47	75	1504
48	77	1501
49	78	1496
50	80	1492
51	81	1489
52	83	1489
53	85	1491
54	86	1490
55	88	1486
56	89	1483
57	91	1479
58	92	1476
59	94	1473
60	95	1470
61	96	1467
62	99	1473
63	100	1470
64	102	1468
65	103	1465
66	105	1462
67	106	1459
68	108	1461
69	109	1458
70	111	1455
71	112	1456
72	114	1453
73	115	1450
74	117	1446
75	118	1443
76	120	1441
77	121	1438
78	123	1435
79	124	1432
80	126	1429
81	127	1430
82	129	1428
83	130	1425
84	132	1423
85	133	1421
86	135	1418
87	136	1415
88	138	1413
89	139	1410
90	141	1410
91	142	1407
92	144	1405
93	145	1402
94	146	1399
95	148	1397
96	149	1394
97	151	1392
98	152	1390
99	154	1393
100	156	1391
101	157	1389
102	159	1386
103	160	1385
104	162	1382
105	163	1380
106	165	1377
107	166	1375
108	168	1373
109	169	1374
110	171	1373
111	172	1370
112	174	1368
113	175	1366
114	177	1363
115	178	1361
116	180	1359
117	181	1356
118	184	1362
119	185	1361
120	187	1359
121	188	1356
122	189	1353
123	191	1351
124	192	1349
125	194	1347
126	195	1345
127	197	1347
128	199	1349
129	201	1348
130	202	1346
131	204	1345
132	206	1343
133	207	1342
134	209	1340
135	210	1338
136	213	1341
137	214	1340
138	216	1338
139	217	1336
140	218	1333
141	220	1332
142	221	1329
143	223	1327
144	224	1325
145	226	1324
146	227	1322
147	229	1320
148	230	1318
149	232	1316
150	233	1314
151	235	1311
152	236	1309
153	237	1307
154	239	1305
155	241	1304
156	242	1302
157	244	1300
158	245	1298
159	246	1296
160	248	1294
161	249	1292
162	251	1290
163	252	1288
164	255	1294
165	258	1298
166	260	1299
167	262	1297
168	263	1295
169	265	1294
170	266	1292
171	267	1289
172	269	1287
173	271	1287
174	272	1286
175	274	1284
176	275	1282
177	277	1280
178	278	1278
179	280	1276
180	281	1275
181	283	1273
182	285	1273
183	286	1272
184	288	1271
185	291	1277
186	294	1280
187	296	1279
188	297	1277
189	300	1281
190	302	1279
191	303	1277
192	305	1275
193	306	1273
194	307	1271
195	309	1269
196	310	1267
197	312	1265
198	314	1266
199	316	1264
200	317	1262
201	319	1260
202	320	1258
203	321	1256
204	323	1254
205	324	1252
206	326	1252
207	328	1250
208	330	1249
209	331	1247
210	333	1245
211	334	1243
212	336	1241
213	337	1239
214	338	1237
215	340	1237
216	342	1234
217	343	1233
218	345	1231
219	346	1229
220	348	1227
221	349	1225
222	350	1222
223	352	1220
224	353	1218
225	355	1216
226	357	1216
227	358	1214
228	360	1213
229	361	1210
230	363	1208
231	364	1207
232	366	1205
233	367	1203
234	369	1201
235	370	1199
236	372	1198
237	373	1196
238	375	1194
239	376	1192
240	378	1191
241	380	1192
242	382	1190
243	383	1188
244	385	1186
245	387	1188
246	389	1185
247	390	1184
248	391	1182
249	393	1180
250	394	1178
251	396	1176
252	397	1174
253	399	1173
254	400	1171
255	402	1169
256	403	1167
257	405	1165
258	406	1163
259	408	1162
260	409	1160
261	411	1158
262	412	1156
263	414	1155
264	416	1153
265	417	1152
266	418	1150
267	420	1148
268	421	1146
269	423	1144
270	424	1142
271	426	1140
272	428	1140
273	430	1141
274	432	1140
275	433	1138
276	435	1136
277	436	1134
278	438	1132
279	439	1130
280	441	1128
281	445	1133
282	448	1135
283	449	1133
284	451	1131
285	452	1129
286	454	1128
287	455	1126
