iter	RMSE
0	0.3840113416
1	0.3730356587
2	0.3612670697
3	0.3511670039
4	0.3405353915
5	0.3301048452
6	0.3212902508
7	0.3129552247
8	0.3047441944
9	0.2963706503
10	0.2887219414
11	0.2813558397
12	0.2736898094
13	0.2663496091
14	0.2599280528
15	0.2536731454
16	0.2474835006
17	0.2421412922
18	0.236660606
19	0.2316908547
20	0.2268076329
21	0.2224408222
22	0.2180772182
23	0.2134231062
24	0.2095795411
25	0.2052563144
26	0.2015397977
27	0.1980975586
28	0.1950937957
29	0.1916592507
30	0.1884669169
31	0.1854669519
32	0.1827225466
33	0.1800611835
34	0.1773116691
35	0.1749133116
36	0.1725660039
37	0.1704683407
38	0.168012903
39	0.1659004072
40	0.1638579827
41	0.1617841527
42	0.1600964603
43	0.1584735696
44	0.1566827269
45	0.1551873379
46	0.1536232867
47	0.1520900196
48	0.1506666475
49	0.1489870491
50	0.1476482187
51	0.1463061411
52	0.1452409407
53	0.1441387376
54	0.1426225797
55	0.1414155917
56	0.1400781483
57	0.1389555713
58	0.1379884361
59	0.1369933601
60	0.136038184
61	0.1351459301
62	0.1341114105
63	0.133083066
64	0.1320647235
65	0.1312155001
66	0.1304683241
67	0.1295760649
68	0.128671062
69	0.1279474696
70	0.1270316422
71	0.1261465078
72	0.1254566141
73	0.1248347691
74	0.1243286926
75	0.123802395
76	0.1231190922
77	0.1224436915
78	0.1217362238
79	0.1211489865
80	0.1206005523
81	0.1201197848
82	0.119572774
83	0.1188402003
84	0.1183532348
85	0.1178508124
86	0.1177623665
87	0.1173093787
88	0.1168871529
89	0.1164654105
90	0.1159235491
91	0.1154362537
92	0.1148369906
93	0.1142946686
94	0.1139498501
95	0.1134739533
96	0.1129122588
97	0.1126057097
98	0.1122293582
99	0.1117897414
100	0.1114081088
101	0.1108491445
102	0.110386399
103	0.1100019637
104	0.1097315874
105	0.1094421424
106	0.1090330051
107	0.1086186057
108	0.1083773688
109	0.1079010178
110	0.107428387
111	0.1069605822
112	0.106662584
113	0.1062439127
114	0.1060257712
115	0.1057224186
116	0.1053382969
117	0.1050768234
118	0.1047532639
119	0.1045005605
120	0.1041350617
121	0.1039110841
122	0.1038505583
123	0.1034231313
124	0.1032927344
125	0.1030646524
126	0.102807858
127	0.1025773933
128	0.1022928082
129	0.102133277
130	0.1018288772
131	0.1014984705
132	0.101279566
133	0.1009527677
134	0.1006446851
135	0.100464532
136	0.1002454889
137	0.09995548851
138	0.09960406629
139	0.09932627517
140	0.09907145967
141	0.09867547871
142	0.09839333223
143	0.09811778206
144	0.09793246266
145	0.09769444459
146	0.0974733009
147	0.09716245474
148	0.09693460413
149	0.09668760268
150	0.09642330205
151	0.09613955244
152	0.0958794401
153	0.09582321334
154	0.09566654644
155	0.09548609669
156	0.09514631922
157	0.09492078994
158	0.09464069924
159	0.0943479022
160	0.09417289975
161	0.09395022084
162	0.09361991533
163	0.09346302516
164	0.09341424283
165	0.09308640442
166	0.09289459137
167	0.09271644548
168	0.09247108869
169	0.09217816271
170	0.09198285743
171	0.09180259905
172	0.09163492911
173	0.091378994
174	0.0912042283
175	0.09101873611
176	0.09082036478
177	0.09054842859
178	0.09036076073
179	0.09004969727
180	0.0897471264
181	0.08959024196
