iter	RMSE
182	0.08943367441
183	0.08924847551
184	0.0889994471
185	0.08882065814
186	0.08856771071
187	0.0884793192
188	0.08820105722
189	0.08806607376
190	0.08791982868
191	0.0877679786
192	0.08748772334
193	0.08730390857
194	0.08726490445
195	0.08712938164
196	0.08687856245
197	0.08665843517
198	0.08646438812
199	0.08628122461
200	0.08604237981
201	0.08585096922
202	0.08574176579
203	0.0855407828
204	0.08543804399
205	0.08522896389
206	0.08502192734
207	0.08489159789
208	0.08462280666
209	0.08437404115
210	0.08422175898
211	0.08403618155
212	0.08380771938
213	0.08363309942
214	0.08342858639
215	0.08319777512
216	0.0831547495
217	0.08304775724
218	0.0829020718
219	0.08273424468
220	0.08258684609
221	0.08254655587
222	0.08235896881
223	0.0822627445
224	0.0820903588
225	0.08190372282
226	0.08172430772
227	0.08153927779
228	0.08142568546
229	0.08139038293
230	0.08122815475
231	0.0810326285
232	0.08086769162
233	0.08068229054
234	0.08052260436
235	0.08028645799
236	0.08013345212
237	0.07994886289
238	0.07966188084
239	0.07953853671
240	0.0793560027
241	0.07925544507
242	0.07916461235
243	0.07905110868
244	0.07887990298
245	0.07884606606
246	0.07881336277
247	0.07867237727
248	0.07864083977
249	0.07855089403
250	0.0784241717
251	0.07829017025
252	0.07815849549
253	0.07803436559
254	0.0778952714
255	0.07774231071
256	0.07757484343
257	0.077410244
258	0.07723681789
259	0.07706260987
260	0.07688658982
261	0.07672821656
262	0.07667673186
263	0.07660674445
264	0.07636211011
265	0.0762618184
266	0.07608900534
267	0.07604238914
268	0.07590086278
269	0.07579892847
270	0.07556463764
271	0.07544586031
272	0.07534707998
273	0.07520693008
274	0.07517051908
275	0.07500153948
276	0.07486137099
277	0.07483534083
278	0.07464087577
279	0.07448341633
280	0.07438999731
281	0.07429455701
282	0.07408814687
283	0.07390010997
284	0.07377456685
285	0.07364551831
286	0.07350397479
287	0.07331285405
288	0.07318107755
289	0.07301774128
290	0.07286209535
291	0.0728379115
292	0.07265329597
293	0.07252463771
294	0.07241902049
295	0.07225197549
296	0.07216152848
297	0.0719809794
298	0.07180156577
299	0.07169354196
300	0.07155203465
301	0.07140114788
302	0.07132072935
303	0.07126456663
304	0.07101986658
305	0.07099677295
306	0.07087341371
307	0.07077096646
308	0.07065480459
309	0.07046035714
310	0.07030422234
311	0.07022388631
312	0.07008343943
313	0.06999148215
314	0.06987815042
315	0.06983741137
316	0.0697666662
317	0.06973566237
318	0.06963700991
319	0.06950515023
320	0.06946324873
321	0.06932013643
322	0.06916472881
323	0.06902766134
324	0.06890563856
325	0.06871180204
326	0.0685431447
327	0.06852080242
328	0.06838037637
329	0.06827716856
330	0.0680746162
331	0.06795270088
332	0.06789641527
333	0.0677679377
334	0.06760798147
335	0.06751239995
336	0.06734265625
337	0.06727753503
338	0.06717503316
339	0.0670826193
340	0.06700281748
341	0.06687444584
342	0.06676188893
343	0.06668746292
344	0.06660668821
345	0.06648796411
346	0.06633696577
347	0.06632193362
348	0.06620567729
349	0.06618368976
350	0.06603958091
351	0.06593546598
352	0.0658467477
353	0.06583231023
354	0.06569797192
355	0.06560346647
356	0.06544728819
357	0.06535544664
358	0.06527134275
359	0.06517687711
360	0.06510349896
361	0.06508207735
362	0.06500331745
363	0.0649375872
364	0.06491886843
365	0.06475263757
366	0.06465836542
367	0.06451102524
368	0.06442977827
369	0.06437749156
370	0.06419218939
371	0.06410690502
372	0.06399021705
373	0.06393726132
374	0.06382675987
375	0.06365691539
376	0.06348996351
377	0.06335588831
378	0.06316513146
379	0.06300620941
380	0.06293158911
381	0.06281888714
382	0.06270409821
383	0.06260665261
384	0.06247969113
385	0.06232396799
386	0.06223643659
387	0.0621275543
388	0.06210404271
389	0.06194707554
390	0.06192560839
391	0.06182171382
392	0.06180637657
393	0.06170489713
394	0.06162466702
395	0.06160491479
396	0.06148059394
397	0.06136887872
398	0.06129029002
399	0.06120219827
400	0.06107231036
401	0.0608941347
402	0.06082922851
403	0.0607076266
404	0.06052569072
405	0.06047651477
406	0.06029962531
407	0.06019221804
408	0.06015225448
409	0.06007338145
410	0.06001888187
411	0.0600001457
412	0.05989424655
413	0.05987474396
414	0.05975535457
415	0.05961500301
416	0.05945880448
417	0.05943943353
418	0.05928255046
419	0.05912084123
420	0.05903376652
421	0.05891168947
422	0.0588076823
423	0.05873115269
424	0.05871633964
425	0.05859891466
426	0.05844984736
427	0.05843644738
428	0.05832108639
429	0.05830072425
430	0.05816487238
431	0.0581291343
432	0.05809529184
433	0.05801891829
434	0.05795112659
435	0.05784395096
436	0.05779273154
437	0.05763873881
438	0.05750350854
439	0.057342527
440	0.05723664997
441	0.05716614125
442	0.05701287632
443	0.05689644786
444	0.05681888018
445	0.0567225444
446	0.05656663613
447	0.05642485
448	0.05628253749
449	0.05614060048
450	0.05602740244
451	0.05590142791
452	0.05577480346
453	0.05575999331
454	0.05567185216
455	0.05562890048
456	0.05554405941
457	0.05553146919
458	0.05550306274
459	0.05536760262
460	0.05525299309
461	0.05513229447
462	0.05512227475
463	0.05510747615
464	0.05496298462
465	0.05483294703
466	0.05479211319
467	0.05467305972
468	0.05457301921
469	0.05438762579
470	0.05425867445
471	0.05423609157
472	0.05419077481
473	0.05406788833
474	0.05394123513
475	0.05385784478
476	0.05376581606
477	0.05361394475
478	0.05360415124
479	0.053510462
480	0.05337916937
481	0.05328928747
482	0.0531777022
483	0.05310738786
484	0.05303889231
485	0.05298547683
486	0.05288508078
487	0.05284534294
488	0.05273543935
489	0.05270788378
490	0.05254703262
491	0.05239268833
492	0.05234219248
493	0.05226728689
494	0.05220080951
495	0.05207186309
496	0.05205210736
497	0.05191184629
498	0.05182827114
499	0.05172238579
500	0.05164047712
501	0.05148462183
502	0.05141903803
503	0.05126966239
504	0.05115050043
505	0.05113877948
506	0.05104858958
507	0.05095288999
508	0.05090861723
509	0.05080476678
510	0.05074758544
511	0.05068230269
512	0.05065697389
513	0.0505969127
514	0.0504819628
515	0.05040807357
516	0.05028541179
517	0.05027453456
518	0.05019803928
519	0.05008908164
520	0.05001590385
521	0.04990647303
522	0.04989502402
523	0.04988756534
524	0.04982536872
525	0.04974412304
526	0.04968521643
527	0.04960213917
528	0.04943132271
529	0.04930717853
530	0.04922059272
531	0.04913298883
532	0.0490596963
533	0.04896346488
534	0.04890953224
535	0.04890028002
536	0.04879670186
537	0.04875393409
538	0.04863192015
539	0.04857616392
540	0.04849476305
541	0.04848602779
542	0.04840966174
543	0.04840131823
544	0.04836913197
545	0.04832355135
546	0.04826982394
547	0.04826233948
548	0.04817890526
549	0.04805670181
550	0.04797559491
551	0.0479007544
552	0.0478472677
553	0.04775513437
554	0.04773186089
555	0.0476384387
556	0.04758222138
557	0.04753552726
558	0.04747173313
559	0.0474046518
560	0.04727914096
561	0.04721447161
562	0.04714823943
563	0.04704050898
564	0.04692770299
565	0.04681569173
566	0.04680819666
567	0.04675063955
568	0.04674326696
569	0.04669180349
570	0.04663972046
571	0.04657244808
572	0.04653055853
573	0.04652339454
574	0.04650458374
575	0.04641749252
576	0.04641065254
577	0.04634489827
578	0.04623058099
579	0.04616775964
580	0.04608446488
581	0.04601285482
582	0.04592667234
583	0.04586550583
584	0.04581267388
585	0.04580645693
586	0.04569775277
587	0.04557170931
588	0.04549784586
589	0.04542880376
590	0.04533586498
591	0.04532926114
592	0.04529431443
593	0.04525486865
594	0.04524744324
595	0.04522224967
596	0.04518154427
597	0.04512957781
598	0.04507461672
599	0.04502310214
600	0.04497065226
601	0.04488541198
602	0.0448394572
603	0.0448015785
604	0.04471291081
605	0.04470623603
606	0.04460995843
607	0.04452400664
608	0.04440519273
609	0.0443384522
610	0.04433115423
611	0.04429315489
612	0.04425626016
613	0.04424993507
614	0.04420836225
615	0.04417134158
616	0.0441503928
617	0.04414228023
618	0.04408431197
619	0.04404740732
620	0.04400985089
621	0.04389865706
622	0.04386957158
623	0.04377775686
624	0.04371841668
625	0.04368707986
626	0.04362627843
627	0.04356589483
628	0.04351924386
629	0.04347951795
630	0.04336314629
631	0.04334065368
632	0.04332957167
633	0.04323914188
634	0.04323376075
635	0.04315018316
636	0.04313178079
637	0.04305229074
638	0.04304517188
639	0.04298050483
640	0.04290943623
641	0.0428906961
642	0.04288505138
643	0.04284140296
644	0.04275992237
645	0.04266448495
646	0.04260874407
647	0.04259773886
648	0.04248845753
649	0.04237768991
650	0.04231498642
651	0.04230637252
652	0.04226260159
653	0.04218387143
654	0.04215344021
655	0.04210851482
656	0.04204185428
657	0.04194884336
658	0.04191720707
659	0.04189800167
660	0.04185829779
661	0.04177499743
662	0.04174918987
663	0.04167690537
664	0.04156347386
665	0.04151997558
666	0.0415047959
667	0.04142858343
668	0.04136028297
669	0.04134701685
670	0.04126346816
671	0.04122332544
672	0.04117900198
673	0.04110314887
674	0.04106519353
675	0.04100767847
676	0.040926658
677	0.04083963798
678	0.04079074865
679	0.0407133745
680	0.04063682075
681	0.04057198059
682	0.04051609659
683	0.04039022371
684	0.0403285873
685	0.04032320947
686	0.04031813986
687	0.04025297851
688	0.04021823009
689	0.04021228788
690	0.04014285683
691	0.0400844006
692	0.04002414353
693	0.03997171241
694	0.03989443247
695	0.03986295227
696	0.03983853229
697	0.0398343185
698	0.03977202942
699	0.03970419078
700	0.03967748747
701	0.03961733275
702	0.03961311318
703	0.03955865516
704	0.0394993888
705	0.03945380673
706	0.03942307505
707	0.03934026716
708	0.03929403135
709	0.03928761815
710	0.03926814612
711	0.03922417463
712	0.03913882011
713	0.03905811533
714	0.03898682127
715	0.03894575475
716	0.03885631221
717	0.03881259524
718	0.03875436083
719	0.03869708638
720	0.03868144515
721	0.03863920262
722	0.03862206059
723	0.03859531492
724	0.03853750288
725	0.03845387917
726	0.03841448395
727	0.03836276649
728	0.03832785488
729	0.03832172337
730	0.03824923594
731	0.03822577773
732	0.03818452003
733	0.03812468595
734	0.0380601495
735	0.03805580741
736	0.0379983381
737	0.03796378152
738	0.0379578606
739	0.03790354309
740	0.03782971346
741	0.03776420473
742	0.03769518258
743	0.03764092458
744	0.03763693545
745	0.03760293916
746	0.0375325962
747	0.03752391121
748	0.03743876144
749	0.03739877735
750	0.03733873778
751	0.03729545816
752	0.03719841198
753	0.03718411111
754	0.03718086056
755	0.03708601711
756	0.03702508946
757	0.0369246787
758	0.0368831562
759	0.03683013693
760	0.03682686544
761	0.03682311391
762	0.03681893288
763	0.03681053232
764	0.03674788617
765	0.03671945001
766	0.03661426306
767	0.03655048621
768	0.03653756732
769	0.03650786828
770	0.03647977537
771	0.03640345241
772	0.03631251402
773	0.03623271096
774	0.03614618586
775	0.03611018037
776	0.03610663433
777	0.03601634482
778	0.03601292452
779	0.03594487887
780	0.03590298434
781	0.03583479055
782	0.03581208293
783	0.03577125634
784	0.03573956097
785	0.03564861485
786	0.03564460924
787	0.0355878414
788	0.03548527899
789	0.03541150296
790	0.03532595831
791	0.03527252073
792	0.03519832985
793	0.03512818327
794	0.03509396969
795	0.03505799821
796	0.03496202851
797	0.03493043333
798	0.03492234404
799	0.03486900029
800	0.03482119266
801	0.03476635023
802	0.03474094569
803	0.03467464254
804	0.03461976252
805	0.03456332518
806	0.03449266907
807	0.03440560767
808	0.03433950604
809	0.03431166529
810	0.03424161842
811	0.03421715974
812	0.03416980155
813	0.03413729789
814	0.03408979818
815	0.03401949505
816	0.03401538359
817	0.03397731707
818	0.03397449536
819	0.03396654704
820	0.03392465486
821	0.03388779
822	0.03383422957
823	0.03380589015
824	0.03372916474
825	0.03369259936
826	0.03361687649
827	0.03361358507
828	0.03353442873
829	0.03347086872
830	0.03346808833
831	0.03340651761
832	0.03338894643
833	0.0333308375
834	0.03326845647
835	0.03322822453
836	0.03312886761
837	0.0330771034
838	0.03301965668
839	0.03299297505
840	0.03298970102
841	0.03291301736
842	0.03287878182
843	0.03284293065
844	0.03281483445
845	0.03277018771
846	0.03272709251
847	0.03269062855
848	0.0326701804
849	0.03259887653
850	0.03255089327
851	0.03252356078
852	0.03247442102
853	0.03244256878
854	0.03238149184
855	0.03233208044
856	0.03232485528
857	0.03228734892
858	0.03222871017
859	0.03213596715
860	0.03211153193
861	0.03210890068
862	0.03210598473
863	0.0320220993
864	0.03201099138
865	0.03197879375
866	0.03193493504
867	0.03184708118
868	0.03184441302
869	0.03178159423
870	0.03177086981
871	0.03172508538
872	0.03169541666
873	0.03166766273
874	0.03159877033
875	0.03154773658
876	0.0314984605
877	0.03147249168
878	0.03144178064
879	0.03140138457
880	0.03138341404
881	0.03131181317
882	0.0313085267
883	0.03129782286
884	0.03126872159
885	0.03122675546
886	0.03121853296
887	0.03116983708
888	0.03116726032
889	0.03114286256
890	0.03111465721
891	0.03111223768
892	0.03107511743
893	0.03104372148
894	0.03102013198
895	0.03095352796
896	0.03090828146
897	0.03090522319
898	0.03087304698
899	0.03082474433
900	0.03079526573
901	0.03075493672
902	0.03075249575
903	0.03075006435
904	0.03070809143
905	0.03062915893
906	0.0306265233
907	0.03053916258
908	0.03044943229
909	0.03041424752
910	0.0303682626
911	0.03031823533
912	0.03029159479
913	0.03021528873
914	0.03017039193
915	0.0300853363
916	0.03006044647
917	0.03005724862
918	0.02999864265
919	0.02997205024
920	0.02994779331
921	0.02994568587
922	0.02989063211
923	0.02988847955
924	0.02983337445
925	0.0298185328
926	0.02980102915
927	0.02976307258
928	0.0297361439
929	0.02972988968
930	0.0296871861
931	0.02968534923
932	0.02964053708
933	0.0295659283
934	0.02952402092
935	0.02947819741
936	0.02945464439
937	0.02940372966
938	0.02933754304
939	0.02928806095
940	0.02926395333
941	0.02922818228
942	0.02913932275
943	0.0291063069
944	0.02910372221
945	0.02904621882
946	0.02898673769
947	0.02896673831
948	0.02896426408
949	0.02893888137
950	0.02890040017
951	0.02884057273
952	0.02881922224
953	0.02875686056
954	0.02874637316
955	0.0287013158
956	0.02864250246
957	0.0286205288
958	0.02857079208
959	0.02854521284
960	0.02850553956
961	0.02849121689
962	0.02844652373
963	0.02844174212
964	0.02842584458
965	0.02837926088
966	0.02834248865
967	0.02832199826
968	0.02828467484
969	0.02822945218
970	0.02821630788
971	0.02817301657
972	0.02816657495
973	0.02812143295
974	0.0281098736
975	0.02806509286
976	0.02802007701
977	0.02799457001
978	0.02794009221
979	0.02793065928
980	0.0279101217
981	0.0278523176
982	0.02782644487
983	0.02779341028
984	0.02776651882
985	0.02771794754
986	0.0276567526
987	0.02762371317
988	0.02758025192
989	0.0275780152
990	0.02753008614
991	0.02752739985
992	0.02751418947
993	0.02746045151
994	0.02738132953
995	0.02733266429
996	0.02727112104
997	0.02726556555
998	0.02721861706
999	0.02717678474
